,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20
Confirmed,555,654,941,1434,2118,2927,5578,6166,8234,9927,12038,16787,19887,23898,27643,30802,34395,37129,40159,42768,44810,45228,60381,66908,69050,71234,73269,75151,75651,76211,76840,78601,78981,79545,80398,81375,82739,84116,86011,88395,90369,92947,95246,98037,101980,106018,109972,113872,118896,126559,132309,146716,157824,168973,183640,199487,219083,247002,276612,308921,342341,384508,425675,476494,539391,603791,671447,731024,795666,872076,948290,1029704,1112859,1193322,1265035,1337712,1414580,1498360,1585025,1672620,1749575,1846390,1916063,1985901,2066740,2163426,2251145,2325103,2405607,2478960,2554241,2631027,2720027,2806972,2891910,2964853,3033572,3108878,3185925,3269608,3356663,3438339,3515957,3592058,3672050,3762073,3851158,3942676,4028522,4104768,4181009,4264584,4349360,4446448,4542815,4638237,4716758,4805049,4901442,5004471,5110805,5217705,5322994,5418320,5505283,5597805,5700405,5819719,5940890,6078719,6186277,6281486,6402323,6521646,6648602,6779470,6915423,7027718,7129862,7254233,7388229,7526344,7655466,7791423,7924897,8044535,8186067,8328061,8468066,8648955,8806589,8935203,9072474,9237859,9409094,9587076,9778491,9956663,10118389,10276540,10450359,10668014,10875759,11079326,11273007,11455588,11622931,11833775,12045577,12273804,12506381,12722506,12915161,13107969,13329608,13560727,13813400,14055307,14292942,14507589,14714367,14947990,15228469,15511225,15792390,16047935,16261215,16487669,16740006,17029155,17309805,17599905,17850617,18079723,18282208,18540789,18811953,19097149,19378036,19637506,19861683,20089624,20344188,20621140,20907124,21211573,21459699,21672186,21881858,22136954,22194929,,22709116
Deceased,17,18,26,42,56,82,131,133,171,213,259,362,426,492,564,634,719,806,906,1013,1113,1118,1371,1523,1666,1770,1868,2008,2123,2248,2252,2459,2470,2630,2710,2771,2814,2873,2942,2996,3085,3160,3255,3348,3460,3559,3803,3987,4266,4611,4916,5413,5831,6471,7151,7957,8856,9966,11442,13151,14853,16777,19051,21836,24849,28380,32077,35555,39733,44629,50212,56549,62578,68458,73497,79399,87437,94235,101947,109241,115391,121172,126977,133958,142368,149718,158639,165160,169711,175201,182456,189266,196102,202817,208413,212277,216950,223494,230251,236201,241358,246782,250198,254330,260248,266817,272160,277701,281905,285434,288885,294426,299618,304819,310020,314115,317347,320630,325370,330225,334957,340178,344113,347197,348367,352575,357776,362414,367062,371152,373990,377038,381794,387276,392392,397047,400871,403586,407283,412116,417236,421941,426175,430349,433725,437141,443896,449079,454044,460228,464421,468402,471950,477195,482397,487113,491842,496281,499379,503099,508141,513086,518186,523109,527470,530937,534755,540790,546070,551496,556812,561589,565557,569394,574994,580447,586220,592881,598494,602537,606718,612889,619821,629750,635796,641342,645001,650180,656487,663092,669111,675304,680782,685071,689394,696344,703300,709785,716083,721488,726030,730961,737380,743989,750230,760374,765718,769904,774034,780908,782228,,794274
Recovered,28,30,36,39,52,61,107,126,143,222,284,472,623,852,1124,1487,2011,2616,3244,3946,4683,5150,6295,8058,9395,10865,12583,14352,16121,18177,18890,22886,23394,25227,27905,30384,33277,36711,39782,42716,45602,48228,51170,53796,55865,58359,60694,62493,64404,67002,68324,70251,72622,76032,78086,80838,83321,84958,87403,91670,97885,98351,107992,113775,122145,130921,139424,148891,164337,177825,192918,209967,225415,245832,259672,276252,299643,328359,353707,375509,401766,421180,448347,473436,510106,540926,567049,590968,622623,644613,679456,709881,738661,788712,816491,845096,872865,906136,948318,1013284,1051537,1092416,1124732,1158819,1195359,1241365,1280833,1317383,1370933,1404527,1451521,1488542,1544398,1584114,1632122,1688714,1729621,1782542,1834647,1893575,1944840,2053491,2108462,2163902,2227625,2282839,2346232,2413089,2490435,2560888,2637208,2692105,2796228,2875332,2945385,3014544,3086748,3141849,3293412,3375694,3454832,3540714,3620438,3706372,3777157,3857365,3955205,4073992,4155134,4250149,4365974,4434711,4526337,4630412,4746172,4839028,4945742,5052107,5141227,5235793,5353115,5469041,5753918,5863818,6059651,6178973,6302585,6447610,6605559,6740073,6879465,7005174,7116853,7257197,7399397,7559178,7711548,7894858,8045815,8133692,8292688,8467335,8643722,8813886,9043203,9262520,9402996,9572619,9746473,9948163,10170650,10369140,10553585,10690555,10913000,11134735,11356275,11545401,11737927,11939109,12115825,12280520,12585473,12826815,12992176,13276831,13445842,13676868,13888301,14116451,14151151,,14563510
